Time,pixels_from_encoder,pixels_from_cv2
0.671836,[[[646 537]]],"(0, 0)"
0.7715844,[[[646 537]]],"(0, 0)"
0.8196507,[[[646 537]]],"(0, 0)"
0.8665664,[[[646 537]]],"(0, 0)"
0.9132068,[[[646 537]]],"(0, 0)"
0.9588146,[[[646 537]]],"(0, 0)"
1.0022969,[[[646 537]]],"(0, 0)"
1.0463941,[[[646 537]]],"(0, 0)"
1.0949854,[[[646 537]]],"(0, 0)"
1.1365968,[[[646 537]]],"(0, 0)"
1.1785538,[[[646 537]]],"(0, 0)"
1.2229823,[[[646 537]]],"(0, 0)"
1.2677728,[[[646 537]]],"(0, 0)"
1.3128143,[[[646 537]]],"(0, 0)"
1.3554077,[[[646 537]]],"(0, 0)"
1.3979684,[[[646 537]]],"(582, 536)"
1.4450981,[[[646 537]]],"(582, 536)"
1.4885057,[[[646 537]]],"(582, 538)"
1.5325626,[[[646 537]]],"(582, 537)"
1.5790622,[[[646 537]]],"(582, 536)"
1.6250295,[[[646 537]]],"(582, 536)"
1.6707897,[[[646 537]]],"(582, 537)"
1.7163083,[[[646 537]]],"(582, 536)"
1.7634521,[[[646 537]]],"(582, 536)"
1.8079055,[[[646 537]]],"(582, 537)"
1.8541319,[[[646 537]]],"(582, 537)"
1.8974877,[[[646 537]]],"(582, 537)"
1.9417354,[[[646 537]]],"(582, 537)"
1.9875138,[[[646 537]]],"(582, 537)"
2.0420943,[[[646 537]]],"(582, 536)"
2.0850359,[[[646 537]]],"(582, 536)"
2.1280411,[[[646 537]]],"(582, 536)"
2.1739097,[[[646 537]]],"(582, 536)"
2.2194643,[[[646 537]]],"(582, 538)"
2.2599604,[[[646 537]]],"(582, 537)"
2.3049736,[[[646 537]]],"(582, 537)"
2.3483755,[[[647 537]]],"(582, 537)"
2.3909437,[[[647 537]]],"(582, 538)"
2.4349121,[[[646 537]]],"(582, 537)"
2.4790414,[[[646 537]]],"(583, 537)"
2.524749,[[[646 537]]],"(582, 537)"
2.5677921,[[[646 537]]],"(582, 537)"
2.6107254,[[[646 537]]],"(582, 537)"
2.6550499,[[[646 537]]],"(582, 537)"
2.6949543,[[[646 537]]],"(582, 536)"
2.7383477,[[[646 537]]],"(582, 537)"
2.7807321,[[[646 537]]],"(582, 536)"
2.8251274,[[[646 537]]],"(582, 536)"
2.8683454,[[[646 537]]],"(582, 536)"
2.9124352,[[[646 537]]],"(582, 536)"
2.9570102,[[[646 537]]],"(582, 536)"
2.9998045,[[[646 537]]],"(582, 536)"
3.0439397,[[[646 537]]],"(582, 536)"
3.0925948,[[[646 537]]],"(582, 536)"
3.1348564,[[[646 537]]],"(582, 536)"
3.1781673,[[[646 537]]],"(582, 537)"
3.2218031,[[[646 537]]],"(582, 536)"
3.261561,[[[646 537]]],"(583, 536)"
3.3051051,[[[646 537]]],"(582, 536)"
3.3478923,[[[646 537]]],"(582, 537)"
3.3916611,[[[646 537]]],"(582, 536)"
3.4321195,[[[646 537]]],"(582, 536)"
3.476928,[[[646 537]]],"(582, 536)"
3.5204193,[[[646 537]]],"(582, 536)"
3.5636659,[[[646 537]]],"(582, 536)"
3.6119887,[[[646 537]]],"(582, 536)"
3.6633338,[[[646 537]]],"(582, 536)"
3.7080086,[[[646 537]]],"(582, 536)"
3.7507873,[[[646 537]]],"(582, 537)"
3.7937166,[[[646 537]]],"(582, 536)"
3.835333,[[[646 537]]],"(582, 536)"
3.8796,[[[646 537]]],"(582, 536)"
3.924485,[[[646 537]]],"(582, 537)"
3.9668189,[[[646 537]]],"(582, 536)"
4.0105402,[[[646 537]]],"(582, 536)"
4.0570395,[[[646 537]]],"(582, 536)"
4.1026874,[[[646 537]]],"(582, 536)"
4.1451229,[[[646 537]]],"(583, 536)"
4.1913638,[[[646 537]]],"(582, 536)"
4.2322869,[[[646 537]]],"(582, 536)"
4.2747912,[[[646 537]]],"(582, 536)"
4.3190452,[[[646 537]]],"(582, 536)"
4.3580129,[[[646 537]]],"(582, 536)"
4.3989688,[[[646 537]]],"(582, 536)"
4.4418691,[[[646 537]]],"(583, 536)"
4.4857034,[[[646 537]]],"(582, 536)"
4.5284624,[[[646 537]]],"(582, 536)"
4.5749658,[[[646 537]]],"(582, 536)"
4.6186833,[[[646 537]]],"(582, 536)"
4.6636115,[[[646 537]]],"(582, 536)"
4.7085554,[[[646 537]]],"(582, 536)"
4.7523319,[[[646 537]]],"(583, 536)"
4.7959133,[[[646 537]]],"(582, 536)"
4.8408445,[[[646 537]]],"(582, 536)"
4.8859822,[[[646 537]]],"(583, 536)"
4.928073,[[[646 537]]],"(582, 536)"
4.973716,[[[646 537]]],"(582, 536)"
5.0147169,[[[646 537]]],"(582, 536)"
5.0576044,[[[646 537]]],"(583, 536)"
5.0986801,[[[646 537]]],"(582, 536)"
5.1435598,[[[646 537]]],"(582, 536)"
5.1910079,[[[646 537]]],"(582, 536)"
5.2325634,[[[648 537]]],"(582, 536)"
5.2746862,[[[654 537]]],"(582, 537)"
5.3190825,[[[660 537]]],"(580, 536)"
5.3616276,[[[664 537]]],"(580, 536)"
5.4048804,[[[670 537]]],"(583, 537)"
5.4445122,[[[672 537]]],"(585, 537)"
5.4919181,[[[674 537]]],"(590, 537)"
5.5346514,[[[674 537]]],"(591, 537)"
5.5778014,[[[671 537]]],"(586, 538)"
5.6245632,[[[668 537]]],"(587, 538)"
5.6689569,[[[664 537]]],"(587, 538)"
5.7136063,[[[660 537]]],"(588, 537)"
5.7579093,[[[659 537]]],"(592, 537)"
5.801984,[[[659 537]]],"(591, 537)"
5.8461688,[[[660 537]]],"(590, 537)"
5.8908608,[[[661 537]]],"(589, 537)"
5.9330835,[[[662 537]]],"(589, 537)"
5.9746228,[[[661 537]]],"(589, 537)"
6.0166823,[[[659 537]]],"(588, 537)"
6.0598559,[[[655 537]]],"(589, 536)"
6.1030259,[[[650 537]]],"(589, 536)"
6.1445891,[[[646 537]]],"(590, 535)"
6.1900824,[[[648 537]]],"(585, 536)"
6.2328763,[[[647 537]]],"(584, 536)"
6.278292,[[[646 537]]],"(580, 536)"
6.3229324,[[[643 537]]],"(580, 535)"
6.3634885,[[[642 537]]],"(580, 536)"
6.4089255,[[[642 537]]],"(576, 535)"
6.4527525,[[[642 537]]],"(576, 536)"
6.4959114,[[[641 537]]],"(579, 536)"
6.536513,[[[642 537]]],"(575, 537)"
6.5771001,[[[640 537]]],"(575, 536)"
6.6199963,[[[640 537]]],"(579, 536)"
6.6616929,[[[639 537]]],"(575, 536)"
6.7102041,[[[640 537]]],"(578, 537)"
6.7591676,[[[642 537]]],"(578, 536)"
6.801739,[[[646 537]]],"(578, 535)"
6.8481036,[[[648 537]]],"(578, 535)"
6.8929996,[[[651 537]]],"(578, 534)"
6.9347973,[[[655 537]]],"(579, 535)"
6.9779272,[[[662 537]]],"(581, 536)"
7.0236074,[[[670 536]]],"(585, 536)"
7.0651302,[[[680 536]]],"(586, 537)"
7.1114834,[[[695 535]]],"(589, 537)"
7.1585135,[[[717 533]]],"(591, 537)"
7.2005021,[[[742 530]]],"(594, 538)"
7.2455962,[[[776 524]]],"(598, 538)"
7.2901007,[[[813 516]]],"(603, 538)"
7.3309473,[[[848 507]]],"(610, 538)"
7.373861,[[[880 496]]],"(618, 539)"
7.4177671,[[[908 486]]],"(669, 535)"
7.4603717,[[[924 479]]],"(682, 533)"
7.5057141,[[[924 480]]],"(694, 529)"
7.5466947,[[[918 482]]],"(703, 519)"
7.5927444,[[[907 487]]],"(710, 518)"
7.6326223,[[[895 491]]],"(713, 518)"
7.676973,[[[883 496]]],"(713, 520)"
7.7226717,[[[874 499]]],"(712, 521)"
7.764872,[[[866 501]]],"(711, 521)"
7.8085316,[[[865 501]]],"(708, 522)"
7.8535358,[[[871 500]]],"(693, 521)"
7.8943509,[[[881 496]]],"(692, 521)"
7.9401628,[[[892 493]]],"(690, 521)"
7.9796208,[[[897 490]]],"(692, 521)"
8.0243518,[[[898 490]]],"(696, 521)"
8.0656812,[[[896 490]]],"(698, 523)"
8.1099329,[[[894 491]]],"(702, 533)"
8.1529245,[[[899 489]]],"(704, 532)"
8.1934078,[[[910 482]]],"(706, 532)"
8.2407693,[[[912 480]]],"(705, 534)"
8.2832641,[[[918 476]]],"(708, 532)"
8.328103,[[[935 465]]],"(713, 530)"
8.3711081,[[[956 448]]],"(714, 530)"
8.4166335,[[[978 426]]],"(716, 528)"
8.4589209,[[[993 406]]],"(720, 525)"
8.5022512,[[[1003  390]]],"(728, 521)"
8.5450983,[[[1009  373]]],"(737, 515)"
8.5917686,[[[1013  354]]],"(748, 508)"
8.6327427,[[[1012  336]]],"(747, 487)"
8.6832892,[[[1008  321]]],"(762, 490)"
8.733296,[[[1004  312]]],"(776, 447)"
8.7835839,[[[996 300]]],"(795, 446)"
8.8339287,[[[988 291]]],"(799, 436)"
8.8756118,[[[982 289]]],"(802, 430)"
8.9169298,[[[976 286]]],"(804, 423)"
8.9588464,[[[968 282]]],"(806, 415)"
9.0019338,[[[958 277]]],"(807, 406)"
9.0443105,[[[950 273]]],"(808, 399)"
9.0871577,[[[945 271]]],"(807, 380)"
9.1295532,[[[940 269]]],"(806, 375)"
9.1748171,[[[939 268]]],"(806, 367)"
9.2191258,[[[941 269]]],"(805, 362)"
9.2590597,[[[945 272]]],"(804, 358)"
9.3001965,[[[953 275]]],"(804, 355)"
9.346824,[[[961 279]]],"(803, 353)"
9.3897459,[[[970 284]]],"(803, 353)"
9.4281347,[[[982 292]]],"(804, 356)"
9.4757824,[[[995 304]]],"(805, 360)"
9.5184989,[[[1007  316]]],"(806, 382)"
9.5613957,[[[1013  325]]],"(805, 392)"
9.6085045,[[[1018  331]]],"(806, 406)"
9.6498772,[[[1023  338]]],"(804, 418)"
9.6922396,[[[1025  349]]],"(801, 430)"
9.7337018,[[[1024  362]]],"(800, 437)"
9.7762163,[[[1021  375]]],"(799, 443)"
9.8181581,[[[1013  391]]],"(797, 447)"
9.860753,[[[1001  408]]],"(792, 455)"
9.9088645,[[[985 427]]],"(788, 461)"
9.952663,[[[975 437]]],"(766, 491)"
9.9950669,[[[975 437]]],"(759, 499)"
10.0380755,[[[975 437]]],"(753, 507)"
10.0818952,[[[975 437]]],"(747, 512)"
10.1255218,[[[975 437]]],"(747, 513)"
10.169298,[[[975 437]]],"(747, 513)"
10.2122771,[[[968 443]]],"(747, 513)"
10.2572471,[[[923 473]]],"(746, 514)"
10.300262,[[[894 487]]],"(746, 514)"
10.3444414,[[[890 488]]],"(746, 514)"
10.3898291,[[[878 493]]],"(714, 527)"
10.4313357,[[[857 501]]],"(706, 530)"
10.4803923,[[[841 507]]],"(705, 530)"
10.5261802,[[[829 511]]],"(703, 531)"
10.5675399,[[[808 517]]],"(696, 532)"
10.6124272,[[[788 522]]],"(689, 535)"
10.6619743,[[[771 526]]],"(683, 536)"
10.7079609,[[[754 528]]],"(679, 536)"
10.7532778,[[[739 529]]],"(650, 540)"
10.8014335,[[[741 527]]],"(645, 539)"
10.8458837,[[[764 523]]],"(639, 539)"
10.8887661,[[[768 522]]],"(630, 538)"
10.9313945,[[[745 521]]],"(626, 539)"
10.9754233,[[[734 519]]],"(627, 538)"
11.0167183,[[[736 518]]],"(637, 538)"
11.0596031,[[[731 517]]],"(643, 539)"
11.1022378,[[[713 515]]],"(639, 538)"
11.1457401,[[[697 512]]],"(622, 534)"
11.1913122,[[[680 510]]],"(616, 531)"
11.2313173,[[[661 508]]],"(607, 528)"
11.2756653,[[[639 501]]],"(599, 525)"
11.3176683,[[[619 493]]],"(594, 522)"
11.3596832,[[[597 485]]],"(586, 519)"
11.4016754,[[[571 469]]],"(577, 514)"
11.4448523,[[[542 438]]],"(570, 504)"
11.4909429,[[[530 401]]],"(558, 496)"
11.53226,[[[530 377]]],"(547, 489)"
11.5747863,[[[525 373]]],"(559, 456)"
11.6183028,[[[511 385]]],"(517, 386)"
11.6626529,[[[500 400]]],"(539, 373)"
11.7098131,[[[490 410]]],"(478, 356)"
11.7519258,[[[481 411]]],"(497, 367)"
11.7938529,[[[473 404]]],"(504, 380)"
11.8361683,[[[467 390]]],"(468, 394)"
11.8790639,[[[461 379]]],"(468, 407)"
11.9216433,[[[453 371]]],"(467, 415)"
11.9642137,[[[441 367]]],"(465, 415)"
12.0094992,[[[426 362]]],"(463, 410)"
12.053294,[[[412 357]]],"(453, 384)"
12.0960375,[[[398 350]]],"(451, 383)"
12.1411634,[[[384 342]]],"(449, 385)"
12.1833071,[[[370 334]]],"(448, 386)"
12.2254619,[[[357 323]]],"(447, 387)"
12.2674881,[[[345 314]]],"(447, 387)"
12.310676,[[[336 308]]],"(448, 387)"
12.3534593,[[[330 306]]],"(449, 387)"
12.393583,[[[328 307]]],"(453, 386)"
12.4364201,[[[328 314]]],"(455, 385)"
12.4799743,[[[333 326]]],"(462, 384)"
12.525054,[[[345 334]]],"(469, 385)"
12.5665032,[[[360 345]]],"(450, 392)"
12.6101383,[[[378 359]]],"(457, 394)"
12.6545855,[[[399 375]]],"(450, 399)"
12.6987725,[[[419 391]]],"(450, 398)"
12.748139,[[[443 410]]],"(446, 401)"
12.7977128,[[[468 434]]],"(447, 402)"
12.8470773,[[[494 451]]],"(448, 405)"
12.8918072,[[[516 461]]],"(462, 434)"
12.935658,[[[536 468]]],"(470, 440)"
12.9796254,[[[554 473]]],"(478, 451)"
13.0269664,[[[575 481]]],"(485, 456)"
13.0672916,[[[594 487]]],"(493, 463)"
13.1134983,[[[613 493]]],"(499, 467)"
13.1588932,[[[637 500]]],"(506, 470)"
13.2015279,[[[661 507]]],"(514, 475)"
13.2482761,[[[690 513]]],"(552, 497)"
13.29381,[[[722 517]]],"(565, 502)"
13.3373101,[[[754 518]]],"(576, 513)"
13.3775993,[[[779 517]]],"(586, 520)"
13.4174419,[[[799 515]]],"(599, 522)"
13.4620299,[[[818 512]]],"(615, 526)"
13.5074986,[[[831 509]]],"(630, 529)"
13.550531,[[[835 509]]],"(644, 530)"
13.5928146,[[[839 508]]],"(655, 531)"
13.6335601,[[[844 506]]],"(662, 533)"
13.675616,[[[852 505]]],"(668, 531)"
13.7185674,[[[861 503]]],"(677, 535)"
13.7623322,[[[870 500]]],"(679, 534)"
13.8089516,[[[880 496]]],"(683, 533)"
13.8527203,[[[885 494]]],"(687, 533)"
13.8963136,[[[890 492]]],"(690, 534)"
13.9475381,[[[882 495]]],"(694, 531)"
13.9921873,[[[855 504]]],"(696, 533)"
14.0335808,[[[825 513]]],"(699, 533)"
14.0791509,[[[781 524]]],"(695, 533)"
14.1229052,[[[750 529]]],"(685, 534)"
14.163903,[[[742 530]]],"(674, 537)"
14.2075377,[[[756 528]]],"(658, 538)"
14.2485099,[[[780 523]]],"(643, 534)"
14.2912862,[[[813 514]]],"(634, 537)"
14.3322791,[[[838 506]]],"(631, 536)"
14.3751621,[[[858 498]]],"(636, 536)"
14.4200341,[[[872 493]]],"(643, 537)"
14.4623208,[[[887 488]]],"(655, 536)"
14.5101352,[[[912 476]]],"(668, 534)"
14.5519692,[[[942 459]]],"(697, 530)"
